cast,directors,genre,rating,runtime,summary,title,writers
"[{'character': 'Andy Dufresne', 'name': 'Tim Robbins'}, {'character': ""Ellis Boyd 'Red' Redding"", 'name': 'Morgan Freeman'}, {'character': 'Warden Norton', 'name': 'Bob Gunton'}, {'character': 'Heywood', 'name': 'William Sadler'}, {'character': 'Captain Hadley', 'name': 'Clancy Brown'}, {'character': 'Tommy', 'name': 'Gil Bellows'}, {'character': 'Bogs Diamond', 'name': 'Mark Rolston'}, {'character': 'Brooks Hatlen', 'name': 'James Whitmore'}, {'character': '1946 D.A.', 'name': 'Jeffrey DeMunn'}, {'character': 'Skeet', 'name': 'Larry Brandenburg'}, {'character': 'Jigger', 'name': 'Neil Giuntoli'}, {'character': 'Floyd', 'name': 'Brian Libby'}, {'character': 'Snooze', 'name': 'David Proval'}, {'character': 'Ernie', 'name': 'Joseph Ragno'}, {'character': 'Guard Mert', 'name': 'Jude Ciccolella'}]",Frank Darabont,Drama,1.,2h 22min,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",The Shawshank Redemption,Stephen King
"[{'character': 'Juror 1', 'name': 'Martin Balsam'}, {'character': 'Juror 2', 'name': 'John Fiedler'}, {'character': 'Juror 3', 'name': 'Lee J. Cobb'}, {'character': 'Juror 4', 'name': 'E.G. Marshall'}, {'character': 'Juror 5', 'name': 'Jack Klugman'}, {'character': 'Juror 6', 'name': 'Edward Binns'}, {'character': 'Juror 7', 'name': 'Jack Warden'}, {'character': 'Juror 8', 'name': 'Henry Fonda'}, {'character': 'Juror 9', 'name': 'Joseph Sweeney'}, {'character': 'Juror 10', 'name': 'Ed Begley'}, {'character': 'Juror 11', 'name': 'George Voskovec'}, {'character': 'Juror 12', 'name': 'Robert Webber'}]",Sidney Lumet,Crime,5.,1h 36min,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,12 Angry Men,Reginald Rose
"[{'character': 'Tuco', 'name': 'Eli Wallach'}, {'character': 'Blondie', 'name': 'Clint Eastwood'}, {'character': 'Sentenza', 'name': 'Lee Van Cleef'}, {'character': 'Alcoholic Union Captain', 'name': 'Aldo Giuffrè'}, {'character': 'Father Pablo Ramirez', 'name': 'Luigi Pistilli'}, {'character': 'Maria', 'name': 'Rada Rassimov'}, {'character': 'Storekeeper', 'name': 'Enzo Petito'}, {'character': 'Mexican Peon', 'name': 'Claudio Scarchilli'}, {'character': 'Sheriff', 'name': 'John Bartha'}, {'character': 'Baker', 'name': 'Livio Lorenzon'}, {'character': 'Jackson', 'name': 'Antonio Casale'}, {'character': 'Mexican Peon', 'name': 'Sandro Scarchilli'}, {'character': ""Member of Angel Eyes' Gang"", 'name': 'Benito Stefanelli'}, {'character': 'Monk', 'name': 'Angelo Novi'}, {'character': 'Stevens', 'name': 'Antonio Casas'}]",Sergio Leone,Western,9.,2h 58min,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"The Good, the Bad and the Ugly",Luciano Vincenzoni
"[{'character': 'Bruce Wayne', 'name': 'Christian Bale'}, {'character': 'Joker', 'name': 'Heath Ledger'}, {'character': 'Harvey Dent', 'name': 'Aaron Eckhart'}, {'character': 'Alfred', 'name': 'Michael Caine'}, {'character': 'Rachel', 'name': 'Maggie Gyllenhaal'}, {'character': 'Gordon', 'name': 'Gary Oldman'}, {'character': 'Lucius Fox', 'name': 'Morgan Freeman'}, {'character': 'Ramirez', 'name': 'Monique Gabriela Curnen'}, {'character': 'Wuertz', 'name': 'Ron Dean'}, {'character': 'Scarecrow', 'name': 'Cillian Murphy'}, {'character': 'Lau', 'name': 'Chin Han'}, {'character': 'Mayor', 'name': 'Nestor Carbonell'}, {'character': 'Maroni', 'name': 'Eric Roberts'}, {'character': 'Chechen', 'name': 'Ritchie Coster'}, {'character': 'Engel', 'name': 'Anthony Michael Hall'}]",Christopher Nolan,Action,4.,2h 32min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",The Dark Knight,Jonathan Nolan
"[{'character': 'Oskar Schindler', 'name': 'Liam Neeson'}, {'character': 'Itzhak Stern', 'name': 'Ben Kingsley'}, {'character': 'Amon Goeth', 'name': 'Ralph Fiennes'}, {'character': 'Emilie Schindler', 'name': 'Caroline Goodall'}, {'character': 'Poldek Pfefferberg', 'name': 'Jonathan Sagall'}, {'character': 'Helen Hirsch', 'name': 'Embeth Davidtz'}, {'character': 'Wiktoria Klonowska', 'name': 'Malgorzata Gebel'}, {'character': 'Wilek Chilowicz', 'name': 'Shmuel Levy'}, {'character': 'Marcel Goldberg', 'name': 'Mark Ivanir'}, {'character': 'Ingrid', 'name': 'Béatrice Macola'}, {'character': 'Julian Scherner', 'name': 'Andrzej Seweryn'}, {'character': 'Rolf Czurda', 'name': 'Friedrich von Thun'}, {'character': 'Herman Toffel', 'name': 'Krzysztof Luft'}, {'character': 'Leo John', 'name': 'Harry Nehring'}, {'character': 'Albert Hujar', 'name': 'Norbert Weisser'}]",Steven Spielberg,Biography,6.,3h 15min,"In German-occupied Poland during World War II, industrialist",Schindler's List,Thomas Keneally
"[{'character': 'Voice of the Ring', 'name': 'Alan Howard'}, {'character': 'Everard Proudfoot', 'name': 'Noel Appleby'}, {'character': 'Sam', 'name': 'Sean Astin'}, {'character': 'Sauron', 'name': 'Sala Baker'}, {'character': 'Boromir', 'name': 'Sean Bean'}, {'character': 'Galadriel', 'name': 'Cate Blanchett'}, {'character': 'Legolas', 'name': 'Orlando Bloom'}, {'character': 'Pippin', 'name': 'Billy Boyd'}, {'character': 'Celeborn', 'name': 'Marton Csokas'}, {'character': 'Mrs. Proudfoot', 'name': 'Megan Edwards'}, {'character': 'Gondorian Archivist', 'name': 'Michael Elsworth'}, {'character': 'Gil-galad', 'name': 'Mark Ferguson'}, {'character': 'Bilbo', 'name': 'Ian Holm'}, {'character': 'Saruman', 'name': 'Christopher Lee'}, {'character': 'Lurtz', 'name': 'Lawrence Makoare'}]",Peter Jackson,Action,10.,2h 58min,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien
"[{'character': 'Everard Proudfoot', 'name': 'Noel Appleby'}, {'character': 'Elanor Gamgee', 'name': 'Ali Astin'}, {'character': 'Sam', 'name': 'Sean Astin'}, {'character': 'Gondorian Soldier 3', 'name': 'David Aston'}, {'character': 'Madril', 'name': 'John Bach'}, {'character': 'Boromir', 'name': 'Sean Bean'}, {'character': 'Galadriel', 'name': 'Cate Blanchett'}, {'character': 'Legolas', 'name': 'Orlando Bloom'}, {'character': 'Pippin', 'name': 'Billy Boyd'}, {'character': 'Eldarion', 'name': 'Sadwyn Brophy'}, {'character': 'Damrod', 'name': 'Alistair Browning'}, {'character': 'Celeborn', 'name': 'Marton Csokas'}, {'character': 'Gondorian Soldier 1', 'name': 'Richard Edge'}, {'character': 'Uruk 2', 'name': 'Jason Fitch'}, {'character': 'Theoden', 'name': 'Bernard Hill'}]",Peter Jackson,Action,7.,3h 21min,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,The Lord of the Rings: The Return of the King,J.R.R. Tolkien
"[{'character': 'Don Vito Corleone', 'name': 'Marlon Brando'}, {'character': 'Michael Corleone', 'name': 'Al Pacino'}, {'character': 'Sonny Corleone', 'name': 'James Caan'}, {'character': 'Clemenza', 'name': 'Richard S. Castellano'}, {'character': 'Tom Hagen', 'name': 'Robert Duvall'}, {'character': 'Capt. McCluskey', 'name': 'Sterling Hayden'}, {'character': 'Jack Woltz', 'name': 'John Marley'}, {'character': 'Barzini', 'name': 'Richard Conte'}, {'character': 'Sollozzo', 'name': 'Al Lettieri'}, {'character': 'Kay Adams', 'name': 'Diane Keaton'}, {'character': 'Tessio', 'name': 'Abe Vigoda'}, {'character': 'Connie', 'name': 'Talia Shire'}, {'character': 'Carlo', 'name': 'Gianni Russo'}, {'character': 'Fredo', 'name': 'John Cazale'}, {'character': 'Cuneo', 'name': 'Rudy Bond'}]",Francis Ford Coppola,Crime,2.,2h 55min,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,The Godfather,Mario Puzo
"[{'character': 'Michael', 'name': 'Al Pacino'}, {'character': 'Tom Hagen', 'name': 'Robert Duvall'}, {'character': 'Kay', 'name': 'Diane Keaton'}, {'character': 'Vito Corleone', 'name': 'Robert De Niro'}, {'character': 'Fredo Corleone', 'name': 'John Cazale'}, {'character': 'Connie Corleone', 'name': 'Talia Shire'}, {'character': 'Hyman Roth', 'name': 'Lee Strasberg'}, {'character': 'Frankie Pentangeli', 'name': 'Michael V. Gazzo'}, {'character': 'Sen. Pat Geary', 'name': 'G.D. Spradlin'}, {'character': 'Al Neri', 'name': 'Richard Bright'}, {'character': 'Fanucci', 'name': 'Gastone Moschin'}, {'character': 'Rocco Lampone', 'name': 'Tom Rosqui'}, {'character': 'Young Clemenza', 'name': 'Bruno Kirby'}, {'character': 'Genco', 'name': 'Frank Sivero'}, {'character': 'Young Mama Corleone', 'name': 'Francesca De Sapio'}]",Francis Ford Coppola,Crime,3.,3h 22min,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",The Godfather: Part II,Francis Ford Coppola
"[{'character': 'Christa-Maria Sieland', 'name': 'Martina Gedeck'}, {'character': 'Hauptmann Gerd Wiesler', 'name': 'Ulrich Mühe'}, {'character': 'Georg Dreyman', 'name': 'Sebastian Koch'}, {'character': 'Oberstleutnant Anton Grubitz', 'name': 'Ulrich Tukur'}, {'character': 'Minister Bruno Hempf', 'name': 'Thomas Thieme'}, {'character': 'Paul Hauser', 'name': 'Hans-Uwe Bauer'}, {'character': 'Albert Jerska', 'name': 'Volkmar Kleinert'}, {'character': 'Karl Wallner', 'name': 'Matthias Brenner'}, {'character': 'Udo', 'name': 'Charly Hübner'}, {'character': 'Gregor Hessenstein', 'name': 'Herbert Knaup'}, {'character': 'Häftling 227', 'name': 'Bastian Trost'}, {'character': 'Frau Meineke', 'name': 'Marie Gruber'}, {'character': 'Schriftexperte', 'name': 'Volker Michalowski'}, {'character': 'Einsatzleiter in Uniform', 'name': 'Werner Daehn'}, {'character': 'Einsatzleiter Meyer', 'name': 'Martin Brambach'}]",Florian Henckel von Donnersmarck,Drama,57.,2h 17min,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",The Lives of Others,Florian Henckel von Donnersmarck
